EM,f1,ValidationLoss,TrainLoss
28.49,59.56,2.07,1.54 
30.06,60.22,2.12,0.95 
28.63,61.03,2.33,0.63 
30.20,61.92,2.40,0.39 
29.63,59.77,2.71,0.26 
31.34,61.47,2.72,0.23 
30.48,60.96,2.95,0.14 
29.63,60.47,2.99,0.11 
30.48,61.26,3.09,0.07 
30.77,61.64,3.13,0.08 
32.62,62.49,3.14,0.05 
29.20,61.27,3.29,0.05 
30.91,61.62,3.27,0.06 
29.91,61.21,3.44,0.05 
32.76,63.06,3.36,0.04 
28.92,60.83,3.46,0.02 
29.06,60.56,3.36,0.05 
30.48,62.68,3.57,0.03 
30.06,60.11,3.36,0.04 
31.05,62.28,3.56,0.02 
31.77,62.49,3.60,0.01 
29.77,60.55,3.68,0.02 
31.77,61.74,3.74,0.02 
26.35,60.52,3.67,0.03 
26.50,57.39,3.76,0.04 
31.05,61.19,3.44,0.09 
30.20,62.40,3.39,0.07 
30.06,58.94,3.17,0.11 
30.91,60.26,3.60,0.07 
27.07,59.55,3.42,0.08 
